Platform,Platform Location Name,Matched Store ID,Matched Shop Name,Match Method,Confidence,Notes
"doordash","St Rose Pkwy","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","West Sahara Avenue","NV008","NV008 Las Vegas Sahara","doordash_address","0.75","DD: 322 W Sahara Ave, Las Vegas → NV008"
"doordash","S Marion Road","SD162","SD162 Sioux Falls Marion","address_city","0.65","street:marion,road, name"
"doordash","Anthem","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","East Market Street","PA016","PA016 West Chester Market","address_city","0.65","street:east,market,street, name"
"doordash","Sunrise Blvd","CA100377","CA100377 Rancho Cordova Sunrise","address_city","0.65","street:sunrise,blvd, name"
"doordash","Happy Valley","OR100230","OR100230 Happy Valley 172nd","address_city","0.74","city, name"
"doordash","Mountain View","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Barnes Road","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Kent Island","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Kenosha & 177th","","","unmatched","0.00","No confident match found"
"doordash","Northdale Blvd","FL100383","FL100383 Tampa Northdale","address_city","0.72","street:northdale,blvd, name"
"doordash","Capriotti's of Dover, Inc.","","","unmatched","0.00","No confident match found"
"doordash","Manchester Rd","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Freeman Park","NC100201","NC100201 Charlotte Freeman Park","address_city","0.74","street:freeman,park, name"
"doordash","Riverwind Dr","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Terrace Center","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","West Glenwood Ave","DE025","DE025 Smyrna Glenwood","address_city","0.65","street:west,glenwood,ave, name"
"doordash","Lantana Drive","DE130","DE130 Hockessin Lantana","address_city","0.72","street:lantana,drive, name"
"doordash","Hwy 72 - Madison","AL100443","AL100443 Madison Hwy 72","address_city","0.77","city, name"
"doordash","Eden Square Ctr","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","N 87th Street","AZ081","AZ081 Scottsdale 87th","address_city","0.65","street:87th,street, name"
"doordash","San Luis Obispo","CA200","CA200 SLO Foothill","address_city","0.50","city"
"doordash","1st Ave NE","IA090","IA090 Cedar Rapids 1st","address_city","0.65","street:ave,1st, name"
"doordash","West Fullerton Ave","IL100206","IL100206 Chicago W Fullerton","address_city","0.65","street:fullerton,ave, name"
"doordash","Blue Diamond Road","NV058","NV058 Las Vegas Blue Diamond","address_city","0.72","street:blue,diamond, name"
"doordash","West Flamingo Road","IL110507","IL110507 CK Chicago River West","address_city","0.61","city, name"
"doordash","Nellis Blvd","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Kennett Square","PA006","PA006 Kennett Square Baltimore Pike","address_city","0.74","city, name"
"doordash","International Pkwy","TX100327","TX100327 Flower Mound International Pkwy","address_city","0.74","street:international,pkwy, name"
"doordash","Hamilton Blvd","PA100176","PA100176 Allentown Hamilton","address_city","0.72","street:hamilton,blvd, name"
"doordash","South Rainbow","NV049","NV049 Las Vegas Rainbow","address_city","0.65","street:south,rainbow, name"
"doordash","Pioneer Pkwy","IL110507","IL110507 CK Chicago River West","address_city","0.50","city"
"doordash","Forest Drive","MD118","MD118 Annapolis Forest","address_city","0.72","street:forest,drive, name"
"doordash","Capriotti's of Milford, LLC","","","unmatched","0.00","No confident match found"
"doordash","Newark","DE003","DE003 Newark Newark Ctr","address_city","0.74","city, name"
"doordash","Concord Pike","DE100158","DE100158 Wilmington Concord Pike","address_city","0.74","street:concord,pike, name"
"doordash","Heart Pine-Odessa","FL193","FL193 Odessa Heart Pine","address_city","0.77","city, name"
"doordash","Sumneytown Pike","PA100251","PA100251 North Wales Sumneytown Pike","address_city","0.74","street:sumneytown,pike, name"
"doordash","Grand Ave-Portland","OR228","OR228 GK Portland Halsey","address_city","1.00","city, street:grand,ave, name"
"doordash","Bidwell - Folsom","CA100403","CA100403 Folsom Bidwell","address_city","1.00","city, street:bidwell, name"
"doordash","Blackstone-Fresno","CA100221","CA100221 Fresno Blackstone","address_city","1.00","city, street:blackstone, name"
"doordash","Palm Ave - Fresno","CA197","CA197 Fresno Palm","address_city","1.00","city, street:palm,ave, name"
