Platform,Platform Location Name,Suggested Store ID,Suggested Shop Name,Confidence,Match Method,Notes,Correct Store ID (FILL THIS IN)
"doordash","Barnes Road","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Kent Island","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Kenosha & 177th","","","0.00","unmatched","No confident match found",""
"doordash","Northdale Blvd","FL100383","FL100383 Tampa Northdale","0.72","address_city","street:northdale,blvd, name",""
"doordash","Capriotti's of Dover, Inc.","","","0.00","unmatched","No confident match found",""
"doordash","Manchester Rd","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Freeman Park","NC100201","NC100201 Charlotte Freeman Park","0.74","address_city","street:freeman,park, name",""
"doordash","Riverwind Dr","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Terrace Center","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","West Glenwood Ave","DE025","DE025 Smyrna Glenwood","0.65","address_city","street:west,glenwood,ave, name",""
"doordash","Lantana Drive","DE130","DE130 Hockessin Lantana","0.72","address_city","street:lantana,drive, name",""
"doordash","Hwy 72 - Madison","AL100443","AL100443 Madison Hwy 72","0.77","address_city","city, name",""
"doordash","Eden Square Ctr","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","N 87th Street","AZ081","AZ081 Scottsdale 87th","0.65","address_city","street:87th,street, name",""
"doordash","San Luis Obispo","CA200","CA200 SLO Foothill","0.50","address_city","city",""
"doordash","1st Ave NE","IA090","IA090 Cedar Rapids 1st","0.65","address_city","street:ave,1st, name",""
"doordash","West Fullerton Ave","IL100206","IL100206 Chicago W Fullerton","0.65","address_city","street:fullerton,ave, name",""
"doordash","Blue Diamond Road","NV058","NV058 Las Vegas Blue Diamond","0.72","address_city","street:blue,diamond, name",""
"doordash","West Flamingo Road","IL110507","IL110507 CK Chicago River West","0.61","address_city","city, name",""
"doordash","Nellis Blvd","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Kennett Square","PA006","PA006 Kennett Square Baltimore Pike","0.74","address_city","city, name",""
"doordash","International Pkwy","TX100327","TX100327 Flower Mound International Pkwy","0.74","address_city","street:international,pkwy, name",""
"doordash","Hamilton Blvd","PA100176","PA100176 Allentown Hamilton","0.72","address_city","street:hamilton,blvd, name",""
"doordash","South Rainbow","NV049","NV049 Las Vegas Rainbow","0.65","address_city","street:south,rainbow, name",""
"doordash","Pioneer Pkwy","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Forest Drive","MD118","MD118 Annapolis Forest","0.72","address_city","street:forest,drive, name",""
"doordash","Capriotti's of Milford, LLC","","","0.00","unmatched","No confident match found",""
"doordash","Newark","DE003","DE003 Newark Newark Ctr","0.74","address_city","city, name",""
"doordash","Concord Pike","DE100158","DE100158 Wilmington Concord Pike","0.74","address_city","street:concord,pike, name",""
"doordash","Heart Pine-Odessa","FL193","FL193 Odessa Heart Pine","0.77","address_city","city, name",""
"doordash","Sumneytown Pike","PA100251","PA100251 North Wales Sumneytown Pike","0.74","address_city","street:sumneytown,pike, name",""
"doordash","Plank Rd","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Sunset and Sandhill","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Kirkwood Hwy","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Lewes, DE","","","0.00","unmatched","No confident match found",""
"doordash","Boulder Station","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","North Haven Ave","CA100425","CA100425 Ontario Haven","0.65","address_city","street:haven,ave, name",""
"doordash","West Charleston","IL110507","IL110507 CK Chicago River West","0.61","address_city","city, name",""
"doordash","Cheyenne and 215","CO231","CO231 CO Springs Cheyenne","0.40","address_city","street:cheyenne, name",""
"doordash","Governor Ritchie","MD100298","MD100298 Pasadena Governor Ritchie","0.74","address_city","street:governor,ritchie, name",""
"doordash","WVC High Market","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Waialae Ave","HI100392","HI100392 Honolulu Waialae","0.72","address_city","street:waialae,ave, name",""
"doordash","Southern Highlands","NV059","NV059 Las Vegas Southern Highlands","0.74","address_city","street:southern,highlands, name",""
"doordash","Zionsville","IN100333","IN100333 Zionsville Michigan","0.74","address_city","city, name",""
"doordash","Red Rock Casino","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Ogletown Stanton","DE094","DE094 Newark Ogletown Stanton","0.74","address_city","street:ogletown,stanton, name",""
"doordash","West Azure","NV043","NV043 Las Vegas Azure","0.65","address_city","street:west,azure, name",""
"doordash","Aliante Casino","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Oso Blanca Rd","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Princeton","NJ100463","NJ100463 Princeton Harrison","0.74","address_city","city, name",""
"doordash","Nevada Way","NV048","NV048 Boulder City Nevada Hwy","0.61","address_city","street:nevada,way, name",""
"doordash","Roanoke","VA100390","VA100390 Roanoke Brambleton","0.74","address_city","city, name",""
"doordash","West Avera Dr","IL110507","IL110507 CK Chicago River West","0.61","address_city","city, name",""
"doordash","Park Road Center","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","17th St Ammon","ID100423","ID100423 Ammon 17th","0.77","address_city","city, name",""
"doordash","Interquest Parkway","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","State and 6100 S","UT154","UT154 Murray State and 6100 S","0.49","address_city","street:state, name",""
"doordash","Elm St","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","South Sandhill Rd","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Cranberry Township","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Magnolia Ave","CA100453","CA100453 Riverside Magnolia","0.72","address_city","street:magnolia,ave, name",""
"doordash","S Fort Apache","NV035","NV035 Las Vegas Ft Apache","0.75","doordash_address","DD: 4825 S Fort Apache Rd Ste K, Las Vegas → NV035",""
"doordash","Cheyenne Rd","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"doordash","Post Falls","ID100461","ID100461 Post Falls Beck","0.74","address_city","city, name",""
"doordash","Frisco","IL110507","IL110507 CK Chicago River West","0.50","address_city","city",""
"grubhub","Capriotti's Sandwich Shop","IL110507","IL110507 CK Chicago River West","0.74","address_city","city, name",""
"doordash","Whitesburg Dr (Medical District)","AL100520","AL100520 Huntsville Whitesburg","0.47","address_city","street:whitesburg, name",""
