Platform,Platform Location Name,Suggested Store ID,Correct Store ID (FILL THIS IN),Notes
"Grubhub","Capriotti's Sandwich Shop Catering","","",""
"Grubhub","Capriottis Sandwich Shop","","",""
"Grubhub","Capriotti’s Sandwich Shop","","",""
"DoorDash","Regional Justice Ctr.","","",""
"UberEats","Capriotti's Sandwich Shop (36101 Bob Hope Drive #G2)","","",""
"UberEats","Capriotti's (TX444)","TX444","",""
"DoorDash","E Silverado Ranch","","",""
"DoorDash","E Robindale Road","","",""
"DoorDash","E William Street","","",""
"DoorDash","Broadway - Tucson","","",""
"DoorDash","Sierra St - Reno","","",""
"DoorDash","Horizon Ridge","","",""
"DoorDash","Meadows - Reno","","",""
"DoorDash","S Stanford Way","","",""
"DoorDash","Nature Park Drive","","",""
"DoorDash","Los Altos","","",""
"DoorDash","Maryland Pkwy","","",""
"DoorDash","North Boulder Hwy","","",""
"DoorDash","Plumb Lane","","",""
"DoorDash","East Craig Road","","",""
"UberEats","Capriotti's Sandwich Shop (CA100377)","CA100377","",""
"UberEats","Capriotti's Sandwich Shop (CA425)","CA425","",""
"Grubhub","Capriotti's Sandwich Shop","","",""
