"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","170631386608948","2025-10-17","05:28:00 PM","America/Chicago","11584616","Frisco","Capriotti's Sandwich Shop","1612 FM 423  ","Frisco","TX","75034","Prepaid Order","Grubhub Delivery","GH+","28.18","1.66","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.84","-2.82","-2.82","0.00","0.00","0.00","0.00","-8.00","0.00","16.20",,"BwEAAAAAALDEaBg0uOCrpBHwuOHhY_Qkw3U"
"Marketplace","049431383736548","2025-10-17","05:27:00 PM","America/Los_Angeles","1278416","NV036","Capriotti's Sandwich Shop","9620 Las Vegas Blvd S Ste E5  ","Las Vegas","NV","89123","Prepaid Order","Grubhub Delivery","GH+","57.65","4.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","62.14","-5.77","-5.77","0.00","0.00","-4.49","0.00","-4.00","0.00","42.11",,"BwEAAAAAABOB0FrTyNCrsxHwiNFx2J7WZ1c"
"Marketplace","143131398724092","2025-10-17","06:08:00 PM","America/Phoenix","280862","AZ081","Capriotti's Sandwich Shop","15227 N 87th St Ste 107 ","Scottsdale","AZ","85260","Prepaid Order","Grubhub Delivery","non GH+","17.99","0.97","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.96","-1.80","-1.80","0.00","0.00","0.00","0.00","-6.00","0.00","9.36",,"BwEAAAAAAARJHlUMWJCruBHwmJFFVlR9YP4"
"Marketplace","232831370417355","2025-10-16","01:30:00 PM","America/Phoenix","7504656","AZ071","Capriotti's Sandwich Shop","3510 E Baseline Rd  ","Mesa","AZ","85204","Prepaid Order","Grubhub Delivery","non GH+","18.49","1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.02","-1.85","-1.85","0.00","0.00","0.00","0.00","0.00","0.00","16.32",,"BwEAAAAAAHKDEFLucJCqxhHwsJErdjhB5Dg"
"Marketplace","682231406329104","2025-10-19","04:39:00 PM","America/Phoenix","280862","AZ081","Capriotti's Sandwich Shop","15227 N 87th St Ste 107 ","Scottsdale","AZ","85260","Prepaid Order","Grubhub Delivery","GH+","17.38","0.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.30","-1.74","-1.74","0.00","0.00","0.00","0.00","-6.00","0.00","8.82",,"BwEAAAAAAARJHgLsoiCtQBHwoiFRgqde-XI"
"Marketplace","892931389613320","2025-10-16","05:55:00 PM","America/Phoenix","7504656","AZ071","Capriotti's Sandwich Shop","3510 E Baseline Rd  ","Mesa","AZ","85204","Prepaid Order","Grubhub Delivery","GH+","47.54","3.95","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","51.49","-4.75","-4.75","0.00","0.00","0.00","0.00","0.00","0.00","41.99",,"BwEAAAAAAHKDEBbgOZCq7RHwuZHnXrFdH80"
"Marketplace","640331367332862","2025-10-15","11:06:54 AM","America/Los_Angeles","1026731","NV034","Capriotti's Sandwich Shop","11155 S Eastern Ave  ","Henderson","NV","89052","Prepaid Order","Pick-Up","non GH+","21.68","1.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.53","27.03","-2.17","0.00","0.00","0.00","-1.82","0.00","0.00","0.00","23.04",,"BwEAAAAAAA-qqzF2pnKp8BHwpnNZqWDWtyg"
"Marketplace","264631362638294","2025-10-15","02:04:00 PM","America/Los_Angeles","5452752","CA100321","Capriotti's Sandwich Shop","2888 E Shepherd Ave  ","Fresno","CA","93720","Prepaid Order","Grubhub Delivery","GH+","20.98","1.75","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.73","-2.10","-2.10","0.00","0.00","0.00","0.00","0.00","0.00","18.53",,"BwEAAAAAAFMz0N_x9aCqBRHwtaFHhYKU1So"
"Marketplace","206231357048054","2025-10-14","11:51:00 AM","America/Los_Angeles","10773856","ID100461","Capriotti's Sandwich Shop","264 S Beck Rd  ","Post Falls","ID","83854","Prepaid Order","Grubhub Delivery","GH+","21.58","1.29","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.87","-2.16","-2.16","0.00","0.00","-1.29","0.00","0.00","0.00","17.26",,"BwEAAAAAAKRlYHCSVrCpKBHwlrFHTBIU724"
"Marketplace","130231372191610","2025-10-16","12:46:00 PM","America/Los_Angeles","1278614","NV008","Capriotti's Sandwich Shop","322 W Sahara Ave ","Las Vegas","NV","89102","Prepaid Order","Grubhub Delivery","non GH+","71.62","6.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","77.62","-7.16","-7.16","0.00","0.00","-6.00","0.00","0.00","0.00","57.30",,"BwEAAAAAABOClv1fgPCqwRHwgPFnU0ENiD8"
