"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","977730878644639","2025-08-27","10:39:00 AM","America/Los_Angeles","9713992","CA100453","Capriotti's Sandwich Shop","9867 Magnolia Ave  ","Riverside","CA","92503","Prepaid Order","Grubhub Delivery","GH+","18.79","1.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","20.43","-1.88","-1.88","0.00","0.00","0.00","0.00","0.00","0.00","16.67",,"BwEAAAAAAJQ5SMM5LiCDZxHwriGDxBd9NbQ"
"Marketplace","265630891441900","2025-08-29","04:15:00 PM","America/New_York","5174904","PA100330","Capriotti's Sandwich Shop","10 St Francis Way Ste. 10  ","Cranberry Township","PA","16066","Prepaid Order","Grubhub Delivery","non GH+","27.87","1.43","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.30","-2.79","-2.79","0.00","0.00","-1.43","0.00","-4.00","0.00","18.29",,"BwEAAAAAAE72eH5wSlCFDhHwilHTIjnfjJw"
"Marketplace","169930899476528","2025-08-29","02:01:00 PM","America/Los_Angeles","9713992","CA100453","Capriotti's Sandwich Shop","9867 Magnolia Ave  ","Riverside","CA","92503","Prepaid Order","Grubhub Delivery","GH+","22.08","1.93","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.01","-2.21","-2.21","0.00","0.00","0.00","0.00","0.00","0.00","19.59",,"BwEAAAAAAJQ5SN98nzCFERHwnzHfegim6ps"
"Marketplace","995830883639845","2025-08-28","12:24:00 PM","America/Los_Angeles","10773856","ID100461","Capriotti's Sandwich Shop","264 S Beck Rd  ","Post Falls","ID","83854","Prepaid Order","Grubhub Delivery","non GH+","29.58","1.77","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","31.35","-2.96","-2.96","0.00","0.00","-1.77","0.00","0.00","0.00","23.66",,"BwEAAAAAAKRlYJUWjUCEPRHwjUGbvO2v4VQ"
"Marketplace","215830875918288","2025-08-27","12:32:34 PM","America/Los_Angeles","10773856","ID100461","Capriotti's Sandwich Shop","264 S Beck Rd  ","Post Falls","ID","83854","Prepaid Order","Pick-Up","GH+","44.16","2.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","46.81","-4.42","0.00","0.00","0.00","-2.65","0.00","0.00","0.00","39.74",,"BwEAAAAAAKRlYKP-AyCDeRHwgyGdL5utqgg"
"Marketplace","672830890090820","2025-08-28","05:49:00 PM","America/Los_Angeles","2051422","NV054","Capriotti's Sandwich Shop","1530 S Stanford Way Ste B  ","Sparks","NV","89431","Prepaid Order","Grubhub Delivery","GH+","35.87","2.96","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","38.83","-3.59","-3.59","0.00","0.00","-2.96","0.00","0.00","0.00","28.69",,"BwEAAAAAAB9NXp-rP2KEbBHwv2NZ5hTgSGU"
"Marketplace","549530902223487","2025-08-30","02:16:00 PM","America/New_York","1947263","DE130","Capriotti's Sandwich Shop","120 Lantana Dr ","Hockessin","DE","19707","Prepaid Order","Grubhub Delivery","GH+","24.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.17","-2.42","-2.42","0.00","0.00","0.00","0.00","0.00","0.00","19.33",,"BwEAAAAAAB22f0LKb6CFxRHwr6H_io_74NU"
"Marketplace","672830910090192","2025-08-30","06:02:00 PM","America/Phoenix","280862","AZ081","Capriotti's Sandwich Shop","15227 N 87th St Ste 107 ","Scottsdale","AZ","85260","Prepaid Order","Grubhub Delivery","non GH+","20.38","1.64","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.02","-2.04","-2.04","0.00","0.00","0.00","0.00","0.00","0.00","17.94",,"BwEAAAAAAARJHj-SJjCGABHwpjGxFoM216s"
"Marketplace","007430898178325","2025-08-29","02:03:00 PM","America/Los_Angeles","384541","NV024","Capriotti's Sandwich Shop","3830 E Flamingo St ","Las Vegas","NV","89121","Prepaid Order","Grubhub Delivery","GH+","31.06","2.60","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","33.66","-3.11","-3.11","0.00","0.00","-2.60","0.00","0.00","0.00","24.84",,"BwEAAAAAAAXeHYlWsKCFFhHwsKGZJjhhxqk"
"Marketplace","238030883154060","2025-08-28","11:36:00 AM","America/Chicago","2728250","SD187","Capriotti's Sandwich Shop","3617 W Avera Dr  ","Sioux Falls","SD","57108","Prepaid Order","Grubhub Delivery","GH+","14.77","1.06","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.83","-1.48","-1.48","0.00","0.00","-1.06","0.00","0.00","0.00","11.81",,"BwEAAAAAACmhOuK4yTCEJhHwiTHbiIVrttA"
"Marketplace","234230881790459","2025-08-27","06:41:00 PM","America/Los_Angeles","9713992","CA100453","Capriotti's Sandwich Shop","9867 Magnolia Ave  ","Riverside","CA","92503","Prepaid Order","Grubhub Delivery","GH+","17.49","1.53","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","19.02","-1.75","-1.75","0.00","0.00","0.00","0.00","0.00","0.00","15.52",,"BwEAAAAAAJQ5SPimuAKDqhHwuANDQpOu6TE"
"Marketplace","253730893727473","2025-08-29","01:13:00 PM","America/Phoenix","7504656","AZ071","Capriotti's Sandwich Shop","3510 E Baseline Rd  ","Mesa","AZ","85204","Prepaid Order","Grubhub Delivery","GH+","15.89","1.32","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","17.21","-1.59","-1.59","0.00","0.00","0.00","0.00","0.00","0.00","14.03",,"BwEAAAAAAHKDEHtdsyCFDhHwsyHrlS0g28Q"
"Marketplace","580430913569396","2025-08-31","04:48:08 PM","America/Los_Angeles","1026731","NV034","Capriotti's Sandwich Shop","11155 S Eastern Ave  ","Henderson","NV","89052","Prepaid Order","Pick-Up","non GH+","9.99","0.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","10.83","-1.00","0.00","0.00","0.00","-0.84","0.00","0.00","0.00","8.99",,"BwEAAAAAAA-qqyWvqTCGvxHwqTG_jriF400"
"Marketplace","710730910969516","2025-08-31","11:11:54 AM","America/Los_Angeles","1278416","NV036","Capriotti's Sandwich Shop","9620 Las Vegas Blvd S Ste E5  ","Las Vegas","NV","89123","Prepaid Order","Pick-Up","non GH+","17.18","1.44","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.79","21.41","-1.72","0.00","0.00","0.00","-1.44","0.00","0.00","0.00","18.25",,"BwEAAAAAABOB0IIIT_CGlBHwj_FHWOccEsU"
"Marketplace","886330896001135","2025-08-29","12:56:00 PM","America/New_York","5174904","PA100330","Capriotti's Sandwich Shop","10 St Francis Way Ste. 10  ","Cranberry Township","PA","16066","Prepaid Order","Grubhub Delivery","GH+","28.79","1.49","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.28","-2.88","-2.88","0.00","0.00","-1.49","0.00","-4.00","0.00","19.03",,"BwEAAAAAAE72eHV6UxKE6hHwkxN7bL4ybrY"
"Marketplace","672830910010050","2025-08-31","11:50:55 AM","America/Los_Angeles","1026731","NV034","Capriotti's Sandwich Shop","11155 S Eastern Ave  ","Henderson","NV","89052","Prepaid Order","Pick-Up","non GH+","16.29","1.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.64","20.29","-1.63","0.00","0.00","0.00","-1.36","0.00","0.00","0.00","17.30",,"BwEAAAAAAA-qq-bT5NCGmRHwpNHhVu6KpqM"
"Marketplace","169930889467146","2025-08-28","03:37:00 PM","America/Phoenix","7504656","AZ071","Capriotti's Sandwich Shop","3510 E Baseline Rd  ","Mesa","AZ","85204","Prepaid Order","Grubhub Delivery","GH+","51.57","4.28","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","55.85","-5.16","-5.16","0.00","0.00","0.00","0.00","0.00","0.00","45.53",,"BwEAAAAAAHKDEALITdCEWhHwjdGdL5utqgg"
"Marketplace","525730852241557","2025-08-25","02:14:00 PM","America/Chicago","1191660","SD162","Capriotti's Sandwich Shop","2504 S Marion Rd  ","Sioux Falls","SD","57106","Prepaid Order","Grubhub Delivery","non GH+","53.05","3.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","56.87","-5.31","-5.31","0.00","0.00","-3.82","0.00","0.00","0.00","42.43",,"BwEAAAAAABIu7FiIyzCB4RHwizGLca0y52Y"
"Marketplace","762830896125829","2025-08-28","07:43:00 PM","America/Los_Angeles","1278532","NV051","Capriotti's Sandwich Shop","771 E Horizon Dr Ste 128  ","Henderson","NV","89015","Prepaid Order","Grubhub Delivery","GH+","31.97","2.68","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","34.65","-3.20","-3.20","0.00","0.00","-2.68","0.00","0.00","0.00","25.57",,"BwEAAAAAABOCRO2OEYCEexHwkYELYRQ_Sts"
"Marketplace","844630874758738","2025-08-27","12:00:00 PM","America/New_York","1477229","DE002","Capriotti's Sandwich Shop","708 West Basin Rd ","Wilmington Manor","DE","19720","Prepaid Order","Grubhub Delivery","GH+","16.89","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.89","-1.69","-1.69","0.00","0.00","0.00","0.00","0.00","0.00","13.51",,"BwEAAAAAABaKbfUaq7CDVRHwq7HXraGSwFQ"
"Marketplace","763230859720893","2025-08-25","12:43:00 PM","America/New_York","2650804","PA220","Capriotti's Sandwich Shop","1814 E Ridge Pike ","Royersford","PA","19468","Prepaid Order","Grubhub Delivery","non GH+","23.17","1.39","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.56","-2.32","-2.32","0.00","0.00","-1.39","0.00","0.00","0.00","18.53",,"BwEAAAAAAChytF9vz4CBzBHwj4Gx9KZUcWY"
"Marketplace","797030853580249","2025-08-25","12:53:05 PM","Pacific/Honolulu","6358344","HI100392","Capriotti's Sandwich Shop","4210 Waialae Avenue unit 107  ","Honolulu","HI","96816","Prepaid Order","Pick-Up","GH+","46.38","2.09","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","48.47","-4.64","0.00","0.00","0.00","-2.09","0.00","0.00","0.00","41.74",,"BwEAAAAAAGEFSG8CQtCCAhHwgtEjkuaCy48"
"Marketplace","159630903715639","2025-08-30","07:00:00 PM","America/New_York","2875563","FL193","Capriotti's Sandwich Shop","12267 State Road 54  ","Odessa","FL","33556","Prepaid Order","Grubhub Delivery","GH+","27.45","1.92","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.37","-2.75","-2.75","0.00","0.00","0.00","0.00","0.00","0.00","23.87",,"BwEAAAAAACvgq8wQqUCF7hHwqUE9vDGAQgQ"
"Marketplace","580430913560426","2025-08-31","01:20:00 PM","America/Los_Angeles","9232784","NV900467","Capriotti's Sandwich Shop","142 Los Altos Pkwy  ","Sparks","NV","89436","Prepaid Order","Grubhub Delivery","GH+","29.98","2.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","32.46","-3.00","-3.00","0.00","0.00","-2.48","0.00","0.00","0.00","23.98",,"BwEAAAAAAIzhkMNbwoCGohHwgoHLBbrC9uY"
