Campaign UUID,Offer type,Status,Start date,End date,Stores,Audience,Sales (USD),New customers,Orders,Uber funding (%),Items
d19d613a-0dbd-48a8-b88b-972658322baf,"Buy 1, get a free item",CANCELED,"Sep 21, 2025","Nov 29, 2025",1,"All customers","$0",0,0,0,""
7fd211f4-7c87-435d-a2b9-8d88524a2445,"Spend 40, Save 11",CANCELED,"Mar 2, 2025","Mar 3, 2026",1,"All customers","$0",0,0,0,""
651faf39-bda9-4cee-8b96-dc6c3d2e9e19,"Spend 30, Save 8",CANCELED,"Jan 15, 2025","Jan 16, 2026",1,"All customers","$0",0,0,0,""
dd8d3d91-9f9a-4b18-a0d1-fa41b41e967d,"Happy Hour: 25% off",CANCELED,"Nov 26, 2024","Nov 27, 2025",1,"All customers","$0",0,0,0,""
3470a500-1b2f-4c4e-835f-fca7179c7a69,"Spend 15, Save 3",CANCELED,"Nov 22, 2024","Nov 23, 2025",1,"All customers","$0",0,0,0,""
fc475dfd-1e9d-436e-acef-9acd832f716b,"Buy 1, Get 1 Free",CANCELED,"Nov 14, 2024","Nov 15, 2025",1,"All customers","$0",0,0,0,""
92a1ce78-27ed-443f-ac67-eb04312d72ae,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$437",3,8,20,""
b183edd5-122b-4b74-9394-b0fd40101629,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$393",2,8,20,""
f4132fb2-1879-4322-80ed-55bfa226c0b7,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$350",5,7,20,""
3c401c18-eda1-4dae-96dd-34d762697f20,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$334",3,6,20,""
91813b1c-f694-4811-9693-148a6706ed3d,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$199",4,5,20,""
9d4d658c-a849-4044-acf1-99808aebf81e,"Spend 35, Save 8",COMPLETED,"Sep 15, 2025","Oct 15, 2025",1,"All customers","$269",4,6,20,""
