"Store ID","Location","Total Sales ($)","Total Sales ($) Difference","Customer Refunds ($)","Customer Refunds ($) Difference","Error Rate (%)","Error Rate (%) Difference","Inaccurate Error Rate (%)","Inaccurate Error Rate (%) Difference","Cancelled Error Rate (%)","Cancelled Error Rate (%) Difference","Missed Error Rate (%)","Missed Error Rate (%) Difference","Marketing spend ($)","Marketing spend ($) Difference","3P Fee (%)","3P Fee (%) Difference","Rating","Rating Difference","Downtime Percentage (%)","Downtime Percentage (%) Difference","Downtime Minutes","Downtime Minutes Difference","Driver Wait Time","Driver Wait Time Difference","Review Count","Review Count Difference"
"ca68add4-dc93-5e31-ac62-47a23f8ffe33","My Big Fat Shawarma - West Bloomfield Township","5360.4","19.332146037399788%","77","100%","1.3071895424836601","80.3921568627451%","1.3071895424836601","100%","0","","0","-100%","895.75","18.45254625038018%","33.82583389299306","15.769875234155847%","4.285714285714286","11.111111111111107%","0","-100%","0","-100%","0.3480943925233645","-32.300176877502444%","7",""
"f54e742e-3a32-5b92-894c-9e1c1ad4a165","My Big Fat Shawarma - Warren","17183","14.490745059367567%","194.34","37.35246307159516%","5.073649754500818","78.21194762684121%","3.436988543371522","60.96563011456629%","1.6366612111292962","129.9509001636661%","0","","1812.67","-10.616527857907167%","37.122446604201826","-0.2831272159582251%","4.395348837209302","-3.4547654254604097%","0","-100%","0","-100%","1.1683729292929292","-13.967845692995997%","43","13.157894736842104%"
"e3f7d59b-cd83-463f-9a52-df015b1eacb7","My Big Fat Shawarma - Detroit","7480.200000000001","31.360635009834205%","164.20000000000002","139.35860058309035%","3.6437246963562755","35.54655870445346%","2.834008097165992","5.425101214574909%","0.8097165991902834","100%","0","","851.94","58.9885229075301%","12.823320232079357","62.97900796704024%","4.857142857142857","6.075533661740559%","0","-100%","0","-100%","0.4167989528795812","17.957148011187346%","14","-26.31578947368421%"
