"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","654230962889765","2025-09-04","08:42:00 PM","America/Los_Angeles","10773856","ID100461","Capriotti's Sandwich Shop","264 S Beck Rd  ","Post Falls","ID","83854","Prepaid Order","Grubhub Delivery","non GH+","64.07","3.84","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","67.91","-6.41","-6.41","0.00","0.00","-3.84","0.00","0.00","0.00","51.25",,"BwEAAAAAAKRlYDT_bfCKBRHwrfEPHlNkEWo"
"Marketplace","758830990034920","2025-09-07","06:26:00 PM","America/Los_Angeles","1278416","NV036","Capriotti's Sandwich Shop","9620 Las Vegas Blvd S Ste E5  ","Las Vegas","NV","89123","Prepaid Order","Grubhub Delivery","GH+","33.36","2.79","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","36.15","-3.34","-3.34","0.00","0.00","-2.79","0.00","0.00","0.00","26.68",,"BwEAAAAAABOB0DtSsgCMRhHwsgGDOmOfS4I"
"Marketplace","387230935123039","2025-09-01","08:23:00 PM","America/Los_Angeles","321680","NV049","Capriotti's Sandwich Shop","6965 S Rainbow Blvd Ste 104 ","Las Vegas","NV","89118","Prepaid Order","Grubhub Delivery","non GH+","20.98","1.76","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","22.74","-2.10","-2.10","0.00","0.00","-1.76","0.00","0.00","0.00","16.78",,"BwEAAAAAAATokGAhUhCHpxHwkhHPSTe3yDY"
"Marketplace","067030982065293","2025-09-06","07:04:00 PM","America/Phoenix","7504656","AZ071","Capriotti's Sandwich Shop","3510 E Baseline Rd  ","Mesa","AZ","85204","Prepaid Order","Grubhub Delivery","GH+","61.75","5.13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","66.88","-6.18","-6.18","0.00","0.00","0.00","0.00","0.00","0.00","54.52",,"BwEAAAAAAHKDEIzrWeCLiRHwmeH_x37_hOs"
"Marketplace","268330939331525","2025-09-01","05:38:00 PM","America/Los_Angeles","10773856","ID100461","Capriotti's Sandwich Shop","264 S Beck Rd  ","Post Falls","ID","83854","Prepaid Order","Grubhub Delivery","GH+","44.17","2.65","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","46.82","-4.42","-4.42","0.00","0.00","-2.65","0.00","0.00","0.00","35.33",,"BwEAAAAAAKRlYArhx4CHjhHwh4F7sY8qAi0"
"Marketplace","506630942677305","2025-09-03","12:24:18 PM","America/Chicago","11584616","Frisco","Capriotti's Sandwich Shop","1612 FM 423  ","Frisco","TX","75034","Prepaid Order","Pick-Up","GH+","25.08","2.07","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.15","-2.51","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.64",,"BwEAAAAAALDEaEsFFaCI6BHwlaF3BktFhB8"
"Marketplace","833230960649184","2025-09-04","07:12:00 PM","America/Los_Angeles","5895160","CA100205","Capriotti's Sandwich Shop","27630 The Old Rd Pad C  ","Valencia","CA","91355","Order Adjustment","Grubhub Delivery","GH+","0.00","0.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.87","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.87","Tax Adjustment","CQMAAAAAAFnz-PDB3lCJ9xHwnlGD06BPNvwAAAAB"
"Marketplace","833230960649184","2025-09-04","07:12:00 PM","America/Los_Angeles","5895160","CA100205","Capriotti's Sandwich Shop","27630 The Old Rd Pad C  ","Valencia","CA","91355","Prepaid Order","Grubhub Delivery","GH+","45.96","3.61","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","49.57","-4.60","-4.60","0.00","0.00","0.00","0.00","-8.00","0.00","32.37",,"BwEAAAAAAFnz-PDB3lCJ9xHwnlGD06BPNvw"
"Marketplace","600530955720393","2025-09-04","12:55:00 PM","America/Los_Angeles","2051422","NV054","Capriotti's Sandwich Shop","1530 S Stanford Way Ste B  ","Sparks","NV","89431","Prepaid Order","Grubhub Delivery","non GH+","19.77","1.63","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","21.40","-1.98","-1.98","0.00","0.00","-1.63","0.00","0.00","0.00","15.81",,"BwEAAAAAAB9NXqbX7xCJxBHwrxE_MAQeP-o"
"Marketplace","062930983713393","2025-09-06","08:34:00 PM","America/Chicago","1191660","SD162","Capriotti's Sandwich Shop","2504 S Marion Rd  ","Sioux Falls","SD","57106","Prepaid Order","Grubhub Delivery","GH+","33.68","2.42","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","36.10","-3.37","-3.37","0.00","0.00","-2.42","0.00","0.00","0.00","26.94",,"BwEAAAAAABIu7GnqC7CLhhHwi7GhiSv8L54"
