"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","304631299117021","2025-10-07","06:57:00 PM","America/Los_Angeles","7357064","CA 171","Capriotti's Sandwich Shop","4060 Douglas Blvd  ","Granite Bay","CA","95746","Prepaid Order","Grubhub Delivery","non GH+","57.57","4.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","61.74","-5.76","-5.76","0.00","0.00","0.00","0.00","0.00","0.00","50.22",,"BwEAAAAAAHBCiIYcouCj5BHwouHxoT1h2gg"
"Marketplace","480531299367144","2025-10-08","11:45:00 AM","America/Chicago","5200176",,"Capriotti's Sandwich Shop","902 Roby Dr  ","Hammond","IN","46320","Prepaid Order","Grubhub Delivery","GH+","87.35","6.99","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","94.34","-8.74","-8.74","0.00","0.00","-6.99","0.00","0.00","0.00","69.87",,"BwEAAAAAAE9ZMDuKIuCkRhHwouHPP60dGQM"
"Marketplace","915331301206892","2025-10-08","05:58:00 PM","America/Los_Angeles","1251336","CA164","Capriotti's Sandwich Shop","9171 De Soto Ave Ste E  ","Chatsworth","CA","91311","Prepaid Order","Grubhub Delivery","GH+","75.97","5.05","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","81.02","-7.60","-7.60","0.00","0.00","0.00","0.00","-22.79","0.00","43.03",,"BwEAAAAAABMYCHtuSjCkpRHwijHBADyNsR8"
"Marketplace","915331301206892","2025-10-08","05:58:00 PM","America/Los_Angeles","1251336","CA164","Capriotti's Sandwich Shop","9171 De Soto Ave Ste E  ","Chatsworth","CA","91311","Order Adjustment","Grubhub Delivery","GH+","0.00","2.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.36","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.36","Tax Adjustment","CQMAAAAAABMYCHtuSjCkpRHwijHBADyNsR8AAAAB"
"Marketplace","109531342872655","2025-10-12","08:02:00 PM","America/Los_Angeles","695584","NV139","Capriotti's Sandwich Shop","7540 Oso Blanca Rd ","Las Vegas","NV","89149","Prepaid Order","Grubhub Delivery","GH+","12.89","1.08","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","13.97","-1.29","-1.29","0.00","0.00","-1.08","0.00","0.00","0.00","10.31",,"BwEAAAAAAAqdINoEp-Cn2xHwp-F7Adhwf1M"
"Marketplace","532831318014814","2025-10-10","11:27:00 AM","America/Chicago","5216440",,"Capriotti's Sandwich Shop","801 International Parkway Suite 530  ","Flower Mound","TX","75022","Prepaid Order","Grubhub Delivery","GH+","49.34","3.41","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","52.75","-4.93","-4.93","0.00","0.00","0.00","0.00","-8.00","0.00","34.89",,"BwEAAAAAAE-YuEFTLvCl8BHwrvFZhFSgk9U"
"Marketplace","241331274856709","2025-10-06","06:12:00 PM","America/New_York","2765419","DE004","Capriotti's Sandwich Shop","2124 Silverside Rd  ","Wilmington","DE","19810","Prepaid Order","Grubhub Delivery","GH+","29.38","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","29.38","-2.94","-2.94","0.00","0.00","0.00","0.00","-5.00","0.00","18.50",,"BwEAAAAAACoya6Y3NqCi_BHwtqGryGJgxtc"
"Marketplace","387731286308833","2025-10-07","11:57:00 AM","America/Chicago","10886048","Chicago","Capriotti's Sandwich Shop","850 W Superior St  ","Chicago","IL","60642","Prepaid Order","Grubhub Delivery","GH+","90.92","10.33","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","101.25","-9.09","-9.09","0.00","0.00","-10.33","0.00","-3.00","0.00","69.74",,"BwEAAAAAAKYboBTPsHCjlxHwsHEbzw76GwE"
"Marketplace","987931327066726","2025-10-11","03:10:00 PM","America/Los_Angeles","1414880","NV079","Capriotti's Sandwich Shop","810 N Sierra St ","Reno","NV","89503","Prepaid Order","Grubhub Delivery","non GH+","14.99","1.24","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","16.23","-1.50","-1.50","0.00","0.00","-1.24","0.00","0.00","0.00","11.99",,"BwEAAAAAABWW4HoPgYCm6hHwgYGRC8iWKTI"
"Marketplace","302831324813657","2025-10-11","06:23:00 PM","America/Chicago","5258464",,"Capriotti's Sandwich Shop","11902 W 119th St  ","Overland Park","KS","66210","Prepaid Order","Grubhub Delivery","GH+","42.85","4.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","46.86","-4.29","-4.29","0.00","0.00","-4.01","0.00","0.00","0.00","34.27",,"BwEAAAAAAFA84G2TAiCm8xHwgiGDk4CNu_0"
