BEGIN COPY
grubhub_store_id,store_number,store_name,street_address,city,state,postal_code,order_time_zone
3354463,230,Capriotti's Sandwich Shop,13140 Southeast 172nd Avenue #134,Happy Valley,OR,97086,America/Los_Angeles
2472962,,Capriotti’s Sandwich Shop,2818 NE Halsey Street Portland,Portland,OR,97232,America/Los_Angeles
3217317,,Capriotti's Sandwich Shop,5585 Hamilton Blvd,Allentown,PA,18106,America/New_York
5174904,,Capriotti's Sandwich Shop,10 St Francis Way Ste. 10,Cranberry Township,PA,16066,America/New_York
10478888,PA100505,Capriotti's Sandwich Shop,1086 E Lancaster Ave,Downingtown,PA,19335,America/New_York
3235323,PA014,Capriotti's Sandwich Shop,301 Byers Dr,Glen Mills,PA,19342,America/New_York
5182088,,Capriotti's Sandwich Shop,467 N Sumneytown Pike Building B Unit 302,North Wales,PA,19454,America/New_York
2650804,PA220,Capriotti's Sandwich Shop,1814 E Ridge Pike,Royersford,PA,19468,America/New_York
2710456,PA080,Capriotti's Sandwich Shop,141 S State Rd,Springfield,PA,19064,America/New_York
3265301,PA016,Capriotti's Sandwich Shop,607 E Market St,West Chester,PA,19382,America/New_York
1426018,PA032,Capriotti's Sandwich Shop,827 W Baltimore Pike,West Grove,PA,19390,America/New_York
2855912,SC237,Capriotti's Sandwich Shop,810 Brayden Parkway suite 103,Fort Mill,SC,29708,America/New_York
1191660,SD162,Capriotti's Sandwich Shop,2504 S Marion Rd,Sioux Falls,SD,57106,America/Chicago
2728250,SD187,Capriotti's Sandwich Shop,3617 W Avera Dr,Sioux Falls,SD,57108,America/Chicago
8500656,100444,Capriotti's Sandwich Shop,3655 Catclaw Dr,Abilene,TX,79606,America/Chicago
3278768,,Capriotti's Sandwich Shop,505 University Drive East,College Station,TX,77840,America/Chicago
5216440,,Capriotti's Sandwich Shop,801 International Parkway Suite 530,Flower Mound,TX,75022,America/Chicago
11584616,Frisco,Capriotti's Sandwich Shop,1612 FM 423,Frisco,TX,75034,America/Chicago
8844736,380,Capriotti's Sandwich Shop,3194 W University Dr,McKinney,TX,75071,America/Chicago
1040127,UT155,Capriotti's Sandwich Shop,1881 W Traverse Pkwy,Lehi,UT,84043,America/Denver
3055744,UT154,Capriotti's Sandwich Shop,6002 S State St,Murray,UT,84107,America/Denver
3056607,UT156,Capriotti's Sandwich Shop,4608 W Partridge Hill Ln,Riverton,UT,84065,America/Denver
1296584,UT108,Capriotti's Sandwich Shop,250 Red Cliffs Dr,St. George,UT,84790,America/Denver
3055831,UT132,Capriotti's Sandwich Shop,2569 S 5600 W #350,West Valley,UT,84120,America/Denver
7910688,355,Capriotti's Sandwich Shop,2203 Plank Rd,Fredericksburg,VA,22401,America/New_York
5524352,,Capriotti's Sandwich Shop,3951 Brambleton Avenue Southwest,Roanoke,VA,24018,America/New_York
END COPY
