Store ID,Store Name,Business ID,Merchant Store ID,Transactions Start Local Date,Transactions End Local Date,Currency,Subtotal,Subtotal Tax Passed by DoorDash to Merchant,Commission,Commission Tax,Drive Charge,Marketing Fees (for historical reference only) | (All discounts and fees),Marketing Fee Tax (for historical reference only) | (Taxes on any applicable marketing fees),Total Tips,Error Charges,Adjustments | (for historical reference only),Total Before Adjustments,Credit,Debit,Estimated Payout,Tax Remitted by DoorDash to State,Subtotal for tax,DoorDash Funded Subtotal Discount Amount | (for historical reference only),Merchant Funded Subtotal Discount Amount | (for historical reference only),Merchant funded loyalty discount amount,External Gift Card Credit Amount,Consumer Delivery Fee,Consumer Service Fee,Consumer Small Order Fee,Consumer Legislative Fee,Consumer Tip,Snap Ebt Discount,Tax Remitted by DoorDash on Fees DoorDash Charges to Merchant,Other Merchant Fee,Bottle Deposit Fee,Bottle Deposit Fee Tax,Discounts,Printer Fee,Tablet Fee,Payment Processing Fee,Delivery Order Fee,Pickup Order Fee,Staff Tip,Customer Discounts from Marketing | (Funded by You),Customer Discounts from Marketing | (Funded by DoorDash),Customer Discounts from Marketing | (Funded by a Third-party),Marketing Fees | (Including any applicable taxes),DoorDash Marketing Credit,Third-party Contribution,Adjustments
578425,Red Cliff Dr,2324,UT108,2025-09-15,2025-09-21,USD,2554.68,184.63,295.84,0.00,0.00,111.92,0.00,27.84,32.35,-12.99,2215.55,2239.91,37.35,2202.56,0.00,2426.59,8.44,92.12,12.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-22.98,0.00,5.00,38.29,0.00,0.00,27.84,-92.12,-8.44,0.00,-65.02,8.44,0.00,-12.99
578662,N Broad St,2324,DE010,2025-09-15,2025-09-21,USD,6269.82,0.00,504.67,0.00,0.00,99.09,0.00,138.50,6.52,-99.81,5596.58,5503.29,6.52,5496.77,0.00,6069.42,19.89,77.31,99.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-23.28,0.00,0.00,137.62,0.00,0.00,138.50,-77.31,-9.89,-10.00,-62.34,9.89,10.00,-99.81
582282,E 53rd - Davenport,2324,IA069,2025-09-15,2025-09-21,USD,6996.33,0.00,463.45,0.00,0.00,212.31,0.00,282.13,22.56,-160.92,6200.72,6062.36,22.56,6039.80,456.56,6522.09,33.34,176.67,160.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-103.31,0.00,0.00,163.86,0.00,0.00,282.13,-176.67,-33.34,0.00,-147.89,33.34,0.00,-160.92
651597,De Soto-Chatsworth,2324,CA164,2025-09-15,2025-09-21,USD,6834.34,613.28,492.51,0.00,0.00,339.39,0.00,94.71,46.54,-197.74,6359.07,6207.87,46.54,6161.33,0.00,6290.18,10.00,281.97,197.74,0.00,59.28,255.40,0.00,0.00,385.05,0.00,0.00,0.00,0.00,0.00,-64.45,0.00,0.00,150.32,0.00,0.00,94.71,-281.97,-10.00,0.00,-147.47,10.00,0.00,-197.74
674514,Marlboro - Easton,2324,MD086,2025-09-15,2025-09-21,USD,4324.14,245.51,374.34,0.00,0.00,129.10,0.00,104.77,14.18,-63.27,3893.19,3849.40,19.48,3829.92,0.00,4082.61,5.78,107.32,63.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-70.94,0.00,5.00,94.38,0.00,0.00,104.77,-107.32,-5.78,0.00,-115.07,5.78,0.00,-63.27
674540,Forest Drive,2324,MD118,2025-09-15,2025-09-21,USD,5267.81,301.72,539.25,0.00,0.00,151.69,0.00,158.66,11.65,-43.21,4753.61,4722.05,11.65,4710.40,0.00,5017.13,20.20,120.01,59.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-70.94,0.00,0.00,102.31,0.00,0.00,158.66,-120.01,-20.20,0.00,-130.42,20.20,0.00,-43.21
691089,Kent Island,2324,MD070,2025-09-15,2025-09-21,USD,4343.47,251.74,264.34,0.00,0.00,111.09,0.00,200.88,10.17,-42.87,4201.00,4173.30,15.17,4158.13,0.00,4187.30,2.99,88.32,42.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.98,0.00,5.00,115.10,0.00,0.00,200.88,-88.32,-2.99,0.00,-87.18,2.99,0.00,-42.87
691182,Silverside Road,2324,DE004,2025-09-15,2025-09-21,USD,13519.10,0.00,879.23,0.00,0.00,257.39,0.00,448.01,0.00,-223.23,12294.22,12077.29,6.30,12070.99,0.00,13088.30,15.30,210.86,183.47,39.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-36.47,0.00,6.00,339.14,0.00,0.00,448.01,-210.86,-7.15,-8.15,-201.19,7.15,8.15,-223.23
699470,S Stanford Way,2324,NV054,2025-09-15,2025-09-21,USD,8484.23,0.00,355.17,0.00,0.00,95.56,0.00,557.01,34.98,-101.63,8236.57,8169.92,34.98,8134.94,682.63,8290.88,0.00,78.73,101.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-12.99,0.00,0.00,262.72,0.00,0.00,557.01,-78.73,0.00,0.00,-60.08,0.00,0.00,-101.63
705841,Meadows - Reno,2324,NV067,2025-09-15,2025-09-21,USD,5319.80,0.00,504.05,0.00,0.00,187.90,0.00,144.55,11.38,-17.04,4498.25,4492.59,11.38,4481.21,417.09,5106.58,0.00,156.22,35.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-21.98,0.00,0.00,108.70,0.00,0.00,144.55,-156.22,0.00,0.00,-163.77,0.00,0.00,-17.04
