Business ID,Business name,Store ID,Store name,Timestamp local time,DoorDash transaction ID,DoorDash order ID,POS order ID,Transaction type,Channel,Description,Subtotal,Tax (subtotal),Customer fees,Tax (customer fees),Commission,Merchant fees,Tax (merchant fees),Marketing fees,Customer discounts,DoorDash marketing credit,Third-party contribution,Error charges,Adjustments,Net total,Payout date,Payout ID
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-07 18:22:16.39262,16062624745,E7EB7BF2,cd822d9d-94e3-44a4-bc45-9a1975f691c9,Order,Marketplace,NULL,160.00,13.88,0.00,0.00,-22.50,0.00,0.00,-10.59,-10.00,0.00,0.00,0.00,0.00,130.79,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-07 17:25:56.97787,16061760596,6DC983ED,02e4c049-71ba-4b8d-9a19-a64abbe5ec1d,Order,Marketplace,NULL,60.00,4.63,0.00,0.00,-7.50,0.00,0.00,-0.99,-10.00,0.00,0.00,0.00,0.00,46.14,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-07 14:50:34.497841,16059428045,526826EE,2ead918e-b99f-4fda-8626-fdc7a1af3129,Order,Marketplace,NULL,18.00,0.83,0.00,0.00,-0.54,0.00,0.00,-0.99,-9.00,0.00,0.00,0.00,0.00,8.30,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-07 14:35:00.961007,16059228826,0056D141,a2fb2b00-b90c-4a54-8a75-75ea290adcae,Order,Storefront,NULL,222.00,20.54,0.00,0.00,0.00,-7.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,235.21,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-07 13:15:09.107793,16058304797,57AC6F98,b934ff31-4c0a-4525-8fa0-a3709069837b,Order,Marketplace,NULL,86.00,5.74,0.00,0.00,-9.30,0.00,0.00,-12.90,-24.00,0.00,0.00,0.00,0.00,45.54,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-07 13:09:07.528059,16058240373,46C4317F,99cc4fac-6141-4579-9223-66018af3ced6,Order,Marketplace,NULL,124.00,8.42,0.00,0.00,-13.65,0.00,0.00,-0.99,-33.00,0.00,0.00,0.00,0.00,84.78,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-07 12:29:47.542281,16057809897,5CD7EE48,264b7e5b-ee30-4d5f-abcc-c3b5e4a5e0de,Order,Marketplace,NULL,24.00,1.76,0.00,0.00,-2.85,0.00,0.00,-0.99,-5.00,0.00,0.00,0.00,0.00,16.92,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-06 19:03:45.228882,16051725889,EC7ABA8C,d2152bdc-de49-4fb0-821c-df89912de09e,Order,Marketplace,NULL,79.00,6.38,0.00,0.00,-10.35,0.00,0.00,-0.99,-10.00,0.00,0.00,0.00,0.00,64.04,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-06 18:42:12.489381,16051412704,43D14A6D,3f9a6ebc-13d6-4703-8049-e7a85681e3f5,Order,Marketplace,NULL,34.00,3.15,0.00,0.00,-4.08,0.00,0.00,-9.19,0.00,0.00,0.00,0.00,0.00,23.88,NULL,NULL
340740,Teleferic Barcelona,390073,Telefèric Barcelona (Walnut Creek),2026-02-06 14:59:08.493773,16047767203,8333692F,3dbe3888-90c5-4e63-94fe-f49c6b1bf877,Order,Marketplace,NULL,140.00,10.18,0.00,0.00,-16.50,0.00,0.00,-9.60,-30.00,0.00,0.00,0.00,0.00,94.08,NULL,NULL
