"order_channel","order_number","transaction_date","transaction_time_local","order_time_zone","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","transaction_type","fulfillment_type","gh_plus_customer","subtotal","subtotal_sales_tax","subtotal_sales_tax_exemption","self_delivery_charge","self_delivery_charge_tax","self_delivery_charge_tax_exemption","merchant_service_fee","merchant_service_fee_tax","merchant_service_fee_tax_exemption","merchant_flexible_fee_bag_fee","merchant_flexible_fee_bag_fee_tax","merchant_flexible_fee_bag_fee_tax_exemption","merchant_flexible_fee_pif_fee","merchant_flexible_fee_pif_fee_tax","merchant_flexible_fee_pif_fee_tax_exemption","tip","merchant_total","commission","delivery_commission","gh_plus_commission","processing_fee","withheld_tax","withheld_tax_exemption","merchant_funded_promotion","merchant_funded_loyalty","merchant_net_total","transaction_note","transaction_id"
"Marketplace","244831069831902","2025-09-15","12:26:00 PM","America/New_York","2262704","DE007","Capriotti's Sandwich Shop","321 Independence Blvd ","Dover","DE","19904","Prepaid Order","Grubhub Delivery","GH+","15.17","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.17","-1.52","-1.52","0.00","0.00","0.00","0.00","-5.00","0.00","7.13",,"BwEAAAAAACKGsKCVY0CSTBHwo0GlbJ-AEIA"
"Marketplace","112131128238429","2025-09-20","07:21:34 PM","America/Los_Angeles","2421104","NV168","Capriottis Sandwich Shop","3455 St Rose Pkwy ","Henderson","NV","89052","Prepaid Order","Pick-Up","non GH+","14.39","1.21","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.60","-1.44","0.00","0.00","0.00","-1.21","0.00","0.00","0.00","12.95",,"BwEAAAAAACTxcCQpeICWkBHwuIGFOH8bZbM"
"Marketplace","887731062098517","2025-09-15","02:04:59 PM","America/New_York","3235323","PA014","Capriotti's Sandwich Shop","301 Byers Dr  ","Glen Mills","PA","19342","Prepaid Order","Pick-Up","non GH+","14.39","0.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.25","-1.44","0.00","0.00","0.00","-0.86","0.00","0.00","0.00","12.95",,"BwEAAAAAADFd-_Nm6iCSXBHwqiFTVnK_bUo"
"Marketplace","468731105826872","2025-09-19","11:46:00 AM","America/Los_Angeles","9713992","CA100453","Capriotti's Sandwich Shop","9867 Magnolia Ave  ","Riverside","CA","92503","Prepaid Order","Grubhub Delivery","GH+","16.89","1.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","18.37","-1.69","-1.69","0.00","0.00","0.00","0.00","0.00","0.00","14.99",,"BwEAAAAAAJQ5SEIosLCVhBHwsLExRn23uGs"
"Marketplace","360431127837719","2025-09-21","07:01:00 PM","America/New_York","3203833","FL100238","Capriotti's Sandwich Shop","1948 Collier Pkwy  ","Lutz","FL","33549","Prepaid Order","Grubhub Delivery","non GH+","30.84","2.16","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","33.00","-3.08","-3.08","0.00","0.00","0.00","0.00","0.00","0.00","26.84",,"BwEAAAAAADDi-ePb8BCXOBHwsBE9dhy__pI"
"Marketplace","369131102288470","2025-09-19","04:11:00 PM","America/New_York","3203833","FL100238","Capriotti's Sandwich Shop","1948 Collier Pkwy  ","Lutz","FL","33549","Prepaid Order","Grubhub Delivery","GH+","28.58","2.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","30.58","-2.86","-2.86","0.00","0.00","0.00","0.00","0.00","0.00","24.86",,"BwEAAAAAADDi-fovWiCVjRHwmiGL4fPRwSo"
"Marketplace","503931084727089","2025-09-17","01:48:20 PM","America/New_York","3235323","PA014","Capriotti's Sandwich Shop","301 Byers Dr  ","Glen Mills","PA","19342","Prepaid Order","Pick-Up","non GH+","14.39","0.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","15.25","-1.44","0.00","0.00","0.00","-0.86","0.00","0.00","0.00","12.95",,"BwEAAAAAADFd-wPHI4CT7RHwo4GN0WwaAto"
"Marketplace","062931085257790","2025-09-17","11:49:00 AM","America/Los_Angeles","9713992","CA100453","Capriotti's Sandwich Shop","9867 Magnolia Ave  ","Riverside","CA","92503","Prepaid Order","Grubhub Delivery","GH+","22.66","1.98","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","24.64","-2.27","-2.27","0.00","0.00","0.00","0.00","0.00","0.00","20.10",,"BwEAAAAAAJQ5SJFas4CT8BHws4EnVCsKyI0"
"Marketplace","360431117894985","2025-09-20","07:00:00 PM","America/Chicago","1191660","SD162","Capriotti's Sandwich Shop","2504 S Marion Rd  ","Sioux Falls","SD","57106","Prepaid Order","Grubhub Delivery","GH+","25.78","1.86","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","27.64","-2.58","-2.58","0.00","0.00","-1.86","0.00","0.00","0.00","20.62",,"BwEAAAAAABIu7BpboWCWeBHwoWEX0OkQh5w"
"Marketplace","832831121043102","2025-09-20","06:32:00 PM","America/Los_Angeles","5895160","CA100205","Capriotti's Sandwich Shop","27630 The Old Rd Pad C  ","Valencia","CA","91355","Order Adjustment","Grubhub Delivery","GH+","0.00","0.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.82","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.82","Tax Adjustment","CQMAAAAAAFnz-GtesTCWhRHwsTHHUNOTuC4AAAAB"
