"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2025-10-06","2025-10-12","3217317","PA100176","Capriotti's Sandwich Shop","5585 Hamilton Blvd  ","Allentown","PA","18106","31","836.65","0.00","0.00","48.10","0.00","884.75","-85.59","-81.96","0.00","0.00","-48.10","-35.00","634.10"
"2025-10-06","2025-10-12","2875563","FL193","Capriotti's Sandwich Shop","12267 State Road 54  ","Odessa","FL","33556","3","54.15","0.00","0.00","3.80","0.00","57.95","-5.42","-5.42","0.00","0.00","0.00","0.00","47.11"
"2025-10-06","2025-10-12","1026731","NV034","Capriotti's Sandwich Shop","11155 S Eastern Ave  ","Henderson","NV","89052","8","559.93","0.00","0.00","46.88","0.00","606.81","-56.01","-53.57","0.00","0.00","-46.88","0.00","450.35"
"2025-10-06","2025-10-12","7910688","VA100355","Capriotti's Sandwich Shop","2203 Plank Rd  ","Fredericksburg","VA","22401","10","336.36","0.00","0.00","38.00","0.00","374.36","-33.65","-33.65","0.00","0.00","0.00","0.00","307.06"
"2025-10-06","2025-10-12","321680","NV049","Capriotti's Sandwich Shop","6965 S Rainbow Blvd Ste 104 ","Las Vegas","NV","89118","10","420.89","0.00","0.00","35.25","4.87","461.01","-42.11","-39.86","0.00","0.00","-35.25","0.00","343.79"
"2025-10-06","2025-10-12","3055831","UT132","Capriotti's Sandwich Shop ","2569 S 5600 W #350  ","West Valley","UT","84120","8","278.21","0.00","0.00","22.93","0.00","301.14","-29.34","-29.34","0.00","0.00","0.00","0.00","242.46"
"2025-10-06","2025-10-12","3245958","DE100158","Capriotti's Sandwich Shop","5600 Concord Pike  ","Wilmington","DE","19803","9","255.01","0.00","0.00","0.00","0.00","255.01","-25.52","-22.95","0.00","0.00","0.00","-47.00","159.54"
"2025-10-06","2025-10-12","3293431","NY100268","Capriotti's Sandwich Shop","373 Smithtown Bypass  ","Hauppauge","NY","11788","9","284.62","0.00","0.00","23.06","0.00","307.68","-28.49","-21.65","0.00","0.00","0.00","-21.00","236.54"
"2025-10-06","2025-10-12","11194832","Enfield","Capriotti's Sandwich Shop","190 Elm St  ","Enfield","CT","06082","15","320.55","0.00","0.00","23.57","0.00","344.12","-32.09","-26.58","0.00","0.00","-23.57","0.00","261.88"
"2025-10-06","2025-10-12","1257296","NV043","Capriotti's Sandwich Shop","7240 W Azure Dr Ste 155  ","Las Vegas","NV","89130","2","64.15","0.00","0.00","5.38","0.00","69.53","-6.42","-6.42","0.00","0.00","-5.38","0.00","51.31"
"2025-10-06","2025-10-12","1245976","IN144","Capriotti's Sandwich Shop","5320 E 82nd St Ste 105  ","Indianapolis","IN","46250","10","241.88","0.00","0.00","21.77","4.85","268.50","-24.21","-20.72","0.00","0.00","-21.77","0.00","201.80"
"2025-10-06","2025-10-12","5119424","MD100332","Capriotti's Sandwich Shop","889 Maryland 3, STE 400  ","Gambrills","MD","21054","5","198.24","0.00","0.00","11.89","0.00","210.13","-19.83","-18.51","0.00","0.00","-11.89","0.00","159.90"
"2025-10-06","2025-10-12","6099744","NC100201","Capriotti's Sandwich Shop","2040 Freeman Park Drive  ","Charlotte","NC","28273","11","264.44","0.00","0.00","19.28","0.00","283.72","-28.20","-24.15","0.00","0.00","-19.28","-31.00","181.09"
"2025-10-06","2025-10-12","1426018","PA032","Capriotti's Sandwich Shop","827 W Baltimore Pike  ","West Grove","PA","19390","2","79.15","0.00","0.00","4.75","0.00","83.90","-7.92","-2.88","0.00","0.00","-4.75","0.00","68.35"
"2025-10-06","2025-10-12","3237659","DE100320","Capriotti's Sandwich Shop","25938 Plaza Drive  ","Millsboro","DE","19966","2","155.97","0.00","0.00","0.00","0.00","155.97","-15.60","0.00","0.00","0.00","0.00","0.00","140.37"
"2025-10-06","2025-10-12","2745349","MD013","Capriotti's Sandwich Shop","202 S Bridge St  ","Elkton","MD","21921","4","84.03","0.00","0.00","5.03","0.00","89.06","-8.41","-8.41","0.00","0.00","-5.03","0.00","67.21"
"2025-10-06","2025-10-12","8500656","TX100444","Capriotti's Sandwich Shop","3655 Catclaw Dr  ","Abilene","TX","79606","6","190.12","0.00","0.00","15.67","0.00","205.79","-19.03","-19.03","0.00","0.00","0.00","0.00","167.73"
"2025-10-06","2025-10-12","3049327","CA215","Capriotti's Sandwich Shop","14063 Limonite Ave  ","Eastvale","CA","92880","6","285.38","0.00","0.00","24.96","0.00","310.34","-28.55","-28.55","0.00","0.00","0.00","0.00","253.24"
"2025-10-06","2025-10-12","7357056","CA100403","Capriotti's Sandwich Shop","3230 E Bidwell St  ","Folsom","CA","95630","4","135.01","0.00","0.00","10.46","0.00","145.47","-13.50","-12.31","0.00","0.00","0.00","0.00","119.66"
"2025-10-06","2025-10-12","3278768",,"Capriotti's Sandwich Shop","505 University Drive East  ","College Station","TX","77840","2","134.70","0.00","0.00","10.45","0.00","145.15","-13.47","-3.36","0.00","0.00","0.00","-8.00","120.32"
"2025-10-06","2025-10-12","280851","AZ104","Capriotti's Sandwich Shop","4017 N Scottsdale Rd Ste 100 ","Scottsdale","AZ","85251","27","689.83","0.00","0.00","47.89","4.00","741.72","-74.09","-68.55","0.00","0.00","0.00","-95.00","504.08"
"2025-10-06","2025-10-12","7619600","NV191","Capriotti's Sandwich Shop","2190 E William St  ","Carson City","NV","89701","7","167.07","0.00","0.00","12.71","0.00","179.78","-16.72","-16.72","0.00","0.00","-12.71","0.00","133.63"
"2025-10-06","2025-10-12","1472659","DE001","Capriotti's Sandwich Shop","510 N Union St ","Wilmington","DE","19805","21","505.51","0.00","0.00","0.00","0.00","505.51","-52.32","-52.32","0.00","0.00","0.00","0.00","400.87"
"2025-10-06","2025-10-12","815979","GA141","Capriotti's Sandwich Shop","777 Townpark Ln NW Ste 104  ","Kennesaw","GA","30144","7","212.37","0.00","0.00","12.74","0.00","225.11","-21.25","-21.25","0.00","0.00","-12.74","0.00","169.87"
"2025-10-06","2025-10-12","1026823","NV048","Capriotti's Sandwich Shop","1010 Nevada Way  ","Boulder City","NV","89005","4","120.61","0.00","0.00","10.09","0.00","130.70","-12.07","-12.07","0.00","0.00","-10.09","0.00","96.47"
"2025-10-06","2025-10-12","7364896","FL100404","Capriotti's Sandwich Shop","7480 Cortez Rd W  ","Bradenton","FL","34209","6","243.06","0.00","0.00","17.00","0.00","260.06","-24.32","-24.32","0.00","0.00","0.00","0.00","211.42"
"2025-10-06","2025-10-12","6102728","ID100423","Capriotti's Sandwich Shop","2565 E 17th St. Suite #2  ","Ammon","ID","83406","3","79.55","0.00","0.00","4.77","0.00","84.32","-7.96","-7.96","0.00","0.00","-4.77","0.00","63.63"
"2025-10-06","2025-10-12","695584","NV139","Capriotti's Sandwich Shop","7540 Oso Blanca Rd ","Las Vegas","NV","89149","16","574.10","0.00","0.00","48.09","2.00","624.19","-57.44","-48.14","0.00","0.00","-48.09","0.00","470.52"
"2025-10-06","2025-10-12","9234080","CO229","Capriotti's Sandwich Shop","1100 Sergeant Jon Stiles Dr  ","Highlands Ranch","CO","80129","6","313.01","0.00","0.00","15.65","0.00","328.66","-31.31","-31.31","0.00","0.00","-15.65","0.00","250.39"
"2025-10-06","2025-10-12","1191660","SD162","Capriotti's Sandwich Shop","2504 S Marion Rd  ","Sioux Falls","SD","57106","3","61.52","0.00","0.00","4.43","0.00","65.95","-6.16","-6.16","0.00","0.00","-4.43","0.00","49.20"
