Store name as per Uber Eats manager,External store ID as per Uber Eats manager,Order ID as per Uber Eats manager,Unique ID to identify the order ,"The mode of order fulfillment whether it was delivery by courier via Uber network, delivery by merchant, Pick-up by customer or Dine-in",Mode of payment used for order payment,"The platform from which the customer ordered, (i.e. iOS, Android, Uber Eats Web)","Either: Completed (eater received food), Cancelled (order cancelled by eater or support), Refund (eater was refunded for order), or Unfulfilled (order was not able to be completed)","Local date the order was placed, or local date of the original order placed for which there is a refund",Local timestamp for when order was accepted by the merchant ,Uber membership status of the customer who placed the order,Total item sales excl tax ,Tax on total item sales in the order,Total item sales incl tax,Amount merchants are responsible for refunding customers when they report order errors (excl tax),Tax Refund On Sales,Amount merchants are responsible for refunding customers when they report order errors (incl tax),Adjustments merchants made to the price of items once an order has been placed (excl tax),Tax on in-store price adjustments,Merchant promotions applied to the order,Tax on merchant promotions applied to the order,Merchant promotions applied to the delivery fee charged to Eaters,Tax on merchant promotions applied to the delivery fee charged to Eaters,Offer Redemption Fee,Fee charged to eater by the merchant for the packaging material,Amount merchant charges Uber for co-funded marketing campaigns. Varies depending on co-funding % for the campaign.,"Total item sales including promotions, adjustments and bag fee incl tax where applicable","The fee Uber charges to merchant to make their store visible to potential customers, provide support and other related services ( %fee is applied to sub-total before discounts) ",The % Marketplace fee Uber charges merchant,Tax on Marketplace fee charged to merchant by Uber,Fixed Fee charged to merchant by Uber for using Ubers delivery network ,Tax on delivery network fee charged to merchant by Uber,A flat % fee on the basket charged by Uber to merchants for processing every order ,"Where delivery fee is greater than cost of delivery, this is equal to (delivery fee minus the cost of delivery) where applicable",Tax on service fee charged by merchants to eaters,"For merchants who perform their own delivery, the tip from the Eater to the courier",Amount directed to Merchant Capital payments,Description of adhoc one-time payments or charges from Uber to the merchant,"All miscellaneous payments like Ad payments, Ad credits etc. inclusive of tax",Sales tax Uber Eats is required to pay in jurisdictions with marketplace facilitator laws ,"As required by the IRS, a % withheld from payments if the EIN/TIN is missing or does not match IRS records.",Total payout associated with this order (negative if associated with a refund)  Sales + Adjustments - promotions + marketing adjustment + Bag fee + delivery fee (self delivery) + tips (self-delivery) - marketplace fee +/- Other payments - marketplace facilitator tax  (incl tax where applicable),Date payout initiated by Uber (generally the Monday following the prior week),Amount commercially agreed to between Merchant and Uber added on a per item basis and charged to the Eater on Merchant’s behalf	,Applicable taxes due on the Markup Amount,"This is the ID from retailers, used to identify retailer loyalty customers",The reference ID for identifying the payout related to this order in the Payout Summary Report CSV
Store Name,Store ID,Order ID,Workflow ID,Dining Mode,Payment Mode,Order Channel,Order Status,Order Date,Order Accept Time,Customer Uber-Membership Status,Sales (excl. tax),Tax on Sales,Sales (incl. tax),Order Error Adjustments,Tax on Order Error Adjustments,Order Error Adjustments (incl. tax),Price adjustments (excl. tax),Tax on Price Adjustments,Offers on items (incl. tax),Tax On Offers on items,Delivery Offer Redemptions (incl. tax),Tax On Delivery Offer Redemptions,Offer Redemption Fee,Bag Fee,Marketing Adjustment,Total Sales after Adjustments (incl tax),Marketplace Fee,Marketplace fee %,Tax on Marketplace Fee,Delivery Network Fee,Tax on Delivery Network Fee,Order Processing Fee,Delivery Fee,Tax On Delivery Fee,Tips,Capital payments,Other payments description,Other payments,Marketplace Facilitator Tax,Backup Withholding Tax,Total payout ,Payout Date,Markup Amount,Markup Tax,Retailer Loyalty ID,Payout reference ID
Capriotti's Sandwich Shop (IA069),69|15645,#F04EE,90f309f3-cecf-4e09-8103-a056a70f04ee,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,6:24 PM,Non-member,37.45,2.63,40.08,0,0,0,0,0,0,0,0,0,0,0,0,40.08,-6.74,18,0,0,0,0,0,0,0,0,,0,-2.63,0,30.71,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#FD333,f3d0ed0b-096c-43ac-9a3f-31040defd333,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,6:27 PM,Uber One member,23.38,1.63,25.01,0,0,0,0,0,0,0,0,0,0,0,0,25.01,-4.91,21,0,0,0,0,0,0,0,0,,0,-1.63,0,18.47,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#BD895,2d3aa59e-7c10-4286-a88f-243da59bd895,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,7:10 PM,Uber One member,38.78,2.72,41.5,0,0,0,0,0,0,0,0,0,0,0,0,41.5,-8.14,21,0,0,0,0,0,0,0,0,,0,-2.72,0,30.64,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/21/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.75,0,0,-0.75,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/22/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.36,0,0,-0.36,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#AFBD8,f44b4c5f-35c1-49bb-8f13-d157341afbd8,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,1:20 PM,Non-member,13.79,0.97,14.76,0,0,0,0,0,0,0,0,0,0,0,0,14.76,-2.48,18,0,0,0,0,0,0,0,0,,0,-0.97,0,11.31,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#B42E8,1ebfa16d-73f6-43ad-bfdf-6461dd4b42e8,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,10/23/25,3:33 PM,Uber One member,17.49,1.49,18.98,0,0,0,0,0,0,0,0,0,0,0,0,18.98,-3.67,21,0,0,0,0,0,0,0,0,,0,-1.49,0,13.82,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#8A274,317714c5-ab7a-4bd8-91ec-8a560bf8a274,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/23/25,6:13 PM,Non-member,42.15,3.58,45.73,0,0,0,0,0,0,0,0,0,0,0,0,45.73,-7.59,18,0,0,0,0,0,0,0,0,,0,-3.58,0,34.56,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#45683,26576c9a-5a45-48cf-9e71-6c1a9d645683,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/23/25,6:48 PM,Uber One member,41.37,3.51,44.88,0,0,0,0,0,0,0,0,0,0,0,0,44.88,-8.69,21,0,0,0,0,0,0,0,0,,0,-3.51,0,32.68,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/24/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.64,0,0,-0.64,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#18D4E,b8a5578e-b309-4ca2-a10f-fa5facd18d4e,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/24/25,10:54 AM,Uber One member,24.98,1.75,26.73,0,0,0,0,0,0,0,0,0,0,0,0,26.73,-5.25,21,0,0,0,0,0,0,0,0,,0,-1.75,0,19.73,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#C7F3A,13297f6d-56cd-40ea-8970-4bf15eec7f3a,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/24/25,4:07 PM,Uber One member,21.29,1.49,22.78,0,0,0,0,0,0,0,0,0,0,0,0,22.78,-4.47,21,0,0,0,0,0,0,0,0,,0,-1.49,0,16.82,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/25/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.96,0,0,-0.96,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#E196F,e69c74ad-9f10-4c53-a0eb-d081d81e196f,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/25/25,11:59 AM,Uber One member,16.29,1.26,17.55,0,0,0,0,0,0,0,0,0,0,0,0,17.55,-3.42,21,0,0,0,0,0,0,0,0,,0,-1.26,0,12.87,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#CFDB9,3d9b4aca-440b-4a44-9b03-364ea0dcfdb9,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,10/25/25,4:29 PM,Non-member,35.68,2.5,38.18,0,0,0,0,0,0,0,0,0,0,0,0,38.18,-6.42,18,0,0,0,0,0,0,0,0,,0,-2.5,0,29.26,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,,,,,UberEats Unknown,,10/26/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.93,0,0,-0.93,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#5BE04,7be1d9ad-2e84-4d64-8044-c0683cd5be04,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/26/25,12:57 PM,Uber One member,46.56,3.27,49.83,0,0,0,0,0,0,0,0,0,0,0,0,49.83,-9.78,21,0,0,0,0,0,0,0,0,,0,-3.27,0,36.78,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#92FBD,11da9f6e-61df-44bc-9df7-a16f02a92fbd,Delivery - Partner Using Uber App,Unknown,UberEats Android,Completed,10/26/25,3:31 PM,Non-member,28.85,2.02,30.87,0,0,0,0,0,0,0,0,0,0,0,0,30.87,-5.19,18,0,0,0,0,0,0,0,0,,0,-2.02,0,23.66,,0,0,,
Capriotti's Sandwich Shop (IA069),69|15645,#EE2F7,1c4d4d14-82f1-4d15-bb83-3f6ab58ee2f7,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/26/25,6:00 PM,Non-member,54.14,4.6,58.74,0,0,0,0,0,0,0,0,0,0,0,0,58.74,-9.75,18,0,0,0,0,0,0,0,0,,0,-4.6,0,44.39,,0,0,,
Capriotti's Sandwich Shop (OK100234),,,,,,UberEats Unknown,,10/20/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.72,0,0,-1.72,,0,0,,
Capriotti's Sandwich Shop (OK100234),,#D65D9,364ff6d9-ccf0-45df-afba-b7675f5d65d9,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,3:46 PM,Uber One member,16.28,1.39,17.67,0,0,0,0,0,0,0,0,0,0,0,0,17.67,-3.42,21,0,0,0,0,0,0,0,0,,0,-1.39,0,12.86,,0,0,,
Capriotti's Sandwich Shop (OK100234),,#63D7C,8bf52367-6c98-4a9c-8af9-eaa60f363d7c,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,4:50 PM,Non-member,33.78,2.05,35.83,0,0,0,0,0,0,0,0,0,0,0,0,35.83,-6.08,18,0,0,0,0,0,0,0,0,,0,-2.05,0,27.7,,0,0,,
Capriotti's Sandwich Shop (OK100234),,#56E77,dec1d69d-d973-4ac5-a262-d8f18b656e77,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,5:18 PM,Non-member,21.48,1.92,23.4,0,0,0,0,0,0,0,0,0,0,0,0,23.4,-3.87,18,0,0,0,0,0,0,0,0,,0,-1.92,0,17.61,,0,0,,
Capriotti's Sandwich Shop (OK100234),,#0C953,a0fa153f-5f06-487b-b76f-9137ce60c953,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,6:28 PM,Uber One member,58.91,5.02,63.93,0,0,0,0,0,0,0,0,0,0,0,0,63.93,-12.37,21,0,0,0,0,0,0,0,0,,0,-5.02,0,46.54,,0,0,,
Capriotti's Sandwich Shop (OK100234),,,,,,UberEats Unknown,,10/21/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-2.49,0,0,-2.49,,0,0,,
Capriotti's Sandwich Shop (OK100234),,#EF2E6,af82e745-050b-43b3-ba19-7195d47ef2e6,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/21/25,4:38 PM,Uber One member,23.87,2.03,25.9,0,0,0,0,0,0,0,0,0,0,0,0,25.9,-5.01,21,0,0,0,0,0,0,0,0,,0,-2.03,0,18.86,,0,0,,
Capriotti's Sandwich Shop (OK100234),,,,,,UberEats Unknown,,10/22/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-0.81,0,0,-0.81,,0,0,,
Capriotti's Sandwich Shop (OK100234),,#BCAC4,fbeb8aa3-8f92-4ce4-8000-8ef3617bcac4,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,7:29 PM,Uber One member,27.66,2.35,30.01,0,0,0,0,0,0,0,0,0,0,0,0,30.01,-5.81,21,0,0,0,0,0,0,0,0,,0,-2.35,0,21.85,,0,0,,
Capriotti's Sandwich Shop (OK100234),,,,,,UberEats Unknown,,10/23/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.89,0,0,-1.89,,0,0,,
Capriotti's Sandwich Shop (OK100234),,#AE5B6,e6ff6582-a0ec-446a-bb6d-987bbdcae5b6,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/23/25,5:21 PM,Uber One member,29.47,2.52,31.99,0,0,0,0,0,0,0,0,0,0,0,0,31.99,-6.19,21,0,0,0,0,0,0,0,0,,0,-2.52,0,23.28,,0,0,,
Capriotti's Sandwich Shop (OK100234),,,,,,UberEats Unknown,,10/24/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-2.47,0,0,-2.47,,0,0,,
Capriotti's Sandwich Shop (OK100234),,#3F88C,5cebce0c-aa4c-4352-ad94-45483423f88c,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/24/25,6:53 PM,Non-member,72.35,7,79.35,0,0,0,0,0,0,0,0,0,0,0,0,79.35,-13.02,18,0,0,0,0,0,0,0,0,,0,-7,0,59.33,,0,0,,
Capriotti's Sandwich Shop (OK100234),,,,,,UberEats Unknown,,10/25/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.14,0,0,-1.14,,0,0,,
Capriotti's Sandwich Shop (OK100234),,#7DE39,8f6bda01-1e04-4e00-b878-2ab3e167de39,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/25/25,6:16 PM,Uber One member,46.96,4.19,51.15,0,0,0,0,0,0,0,0,0,0,0,0,51.15,-9.86,21,0,0,0,0,0,0,0,0,,0,-4.19,0,37.1,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,,,,,UberEats Unknown,,10/20/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-3.13,0,0,-3.13,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#7A8C7,8c1c425c-68e9-480f-9095-9c98bdc7a8c7,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,11:01 AM,Uber One member,31.57,2.61,34.18,0,0,0,0,0,0,0,0,0,0,0,0,34.18,-6.63,21,0,0,0,0,0,0,0,0,,0,-2.61,0,24.94,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#51968,1b051576-c727-4349-9b83-74f6a3951968,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,12:02 PM,Uber One member,16.68,1.38,18.06,0,0,0,0,0,0,0,0,0,0,0,0,18.06,-3.5,21,0,0,0,0,0,0,0,0,,0,-1.38,0,13.18,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#70AA7,b01afadb-50a2-4ee4-9331-3b42cbf70aa7,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,2:11 PM,Uber One member,27.49,2.27,29.76,0,0,0,0,0,0,0,0,0,0,0,0,29.76,-5.77,21,0,0,0,0,0,0,0,0,,0,-2.27,0,21.72,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#B7972,2bebacfc-e605-4634-882c-dda4fd9b7972,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,3:05 PM,Uber One member,22.26,1.84,24.1,0,0,0,0,0,0,0,0,0,0,0,0,24.1,-4.67,21,0,0,0,0,0,0,0,0,,0,-1.84,0,17.59,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#0C443,2efca2c7-7d8e-4840-9c69-f4c722e0c443,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,5:25 PM,Non-member,18.18,1.5,19.68,0,0,0,0,0,0,0,0,0,0,0,0,19.68,-3.27,18,0,0,0,0,0,0,0,0,,0,-1.5,0,14.91,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#3A4E1,ca9f8fe6-3f3d-45d8-8c11-fb2bdf43a4e1,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,10/20/25,4:48 PM,Uber One member,57.74,4.77,62.51,0,0,0,0,0,0,0,0,0,0,0,0,62.51,-12.13,21,0,0,0,0,0,0,0,0,,0,-4.77,0,45.61,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#F48CA,ac4f62f5-9842-4680-86d9-0921fd3f48ca,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/20/25,5:48 PM,Uber One member,43.36,3.58,46.94,0,0,0,0,0,0,0,0,0,0,0,0,46.94,-9.11,21,0,0,0,0,0,0,0,0,,0,-3.58,0,34.25,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#B9AF9,9c1954df-9da3-4289-8368-dac129ab9af9,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/20/25,5:58 PM,Uber One member,18.79,1.55,20.34,0,0,0,0,0,0,0,0,0,0,0,0,20.34,-3.95,21,0,0,0,0,0,0,0,0,,0,-1.55,0,14.84,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#129F9,e6c01a60-f19f-4189-bfd6-f00347c129f9,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/20/25,6:52 PM,Uber One member,31.28,2.59,33.87,0,0,0,0,0,0,0,0,0,0,0,0,33.87,-6.57,21,0,0,0,0,0,0,0,0,,0,-2.59,0,24.71,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,,,,,UberEats Unknown,,10/21/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-2.12,0,0,-2.12,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#91946,255e23bb-d886-4488-8dd3-784d3e691946,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/21/25,10:24 AM,Non-member,27.49,2.27,29.76,0,0,0,0,0,0,0,0,0,0,0,0,29.76,-4.95,18,0,0,0,0,0,0,0,0,,0,-2.27,0,22.54,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#EA2A4,f67b7245-b0bb-4c35-a9cf-6769218ea2a4,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/21/25,11:55 AM,Uber One member,20.68,1.71,22.39,0,0,0,0,0,0,0,0,0,0,0,0,22.39,-4.34,21,0,0,0,0,0,0,0,0,,0,-1.71,0,16.34,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#E89DC,03c26375-e3f8-4c60-a15b-4720564e89dc,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/21/25,12:46 PM,Uber One member,71.35,5.9,77.25,0,0,0,0,0,0,0,0,0,0,0,0,77.25,-14.98,21,0,0,0,0,0,0,0,0,,0,-5.9,0,56.37,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#83B17,38b47f56-dde1-46db-a2d7-dade72883b17,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/21/25,1:06 PM,Uber One member,27.58,2.28,29.86,0,0,0,0,0,0,0,0,0,0,0,0,29.86,-5.79,21,0,0,0,0,0,0,0,0,,0,-2.28,0,21.79,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#F13EE,91653475-ed79-4a5d-b9af-3a73733f13ee,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/21/25,1:50 PM,Uber One member,16.29,1.35,17.64,0,0,0,0,0,0,0,0,0,0,0,0,17.64,-3.42,21,0,0,0,0,0,0,0,0,,0,-1.35,0,12.87,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#94D79,026dd9ed-e9f9-48d3-b93a-79a8ce294d79,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/21/25,2:05 PM,Uber One member,20.67,1.71,22.38,0,0,0,0,0,0,0,0,0,0,0,0,22.38,-4.34,21,0,0,0,0,0,0,0,0,,0,-1.71,0,16.33,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#3DB53,d1da21bd-22f7-4cb7-8b03-48057893db53,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,10/21/25,3:02 PM,Non-member,24.99,2.07,27.06,0,0,0,0,0,0,0,0,0,0,0,0,27.06,-4.5,18,0,0,0,0,0,0,0,0,,0,-2.07,0,20.49,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#3077E,f5ad4856-f8b0-4f11-97fd-383dff53077e,Pickup,Digital,UberEats Web,Completed,10/21/25,2:56 PM,Non-member,14.08,1.16,15.24,0,0,0,0,0,-5,-0.41,0,0,0,0,0,10.24,-0.54,6,0,0,0,0,0,0,0,0,,0,-0.75,0,8.54,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#5E86E,91ef54d0-ed6a-422d-af45-19e92bc5e86e,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/21/25,4:23 PM,Uber One member,22.37,1.85,24.22,0,0,0,0,0,0,0,0,0,0,0,0,24.22,-4.7,21,0,0,0,0,0,0,0,0,,0,-1.85,0,17.67,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#87510,03be2da7-cde7-4e17-b061-62cf3d787510,Delivery - Partner Using Uber App,Digital,UberEats Android,Completed,10/21/25,6:17 PM,Uber One member,25.08,2.07,27.15,0,0,0,0,0,0,0,0,0,0,0,0,27.15,-5.27,21,0,0,0,0,0,0,0,0,,0,-2.07,0,19.81,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#E514E,19fd0039-523d-4d70-bc7b-cb4478be514e,Delivery - Partner Using Uber App,Digital,UberEats Web,Completed,10/21/25,6:28 PM,Uber One member,23.07,1.91,24.98,0,0,0,0,0,0,0,0,0,0,0,0,24.98,-4.84,21,0,0,0,0,0,0,0,0,,0,-1.91,0,18.23,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,,,,,UberEats Unknown,,10/22/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-1.07,0,0,-1.07,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,,,,,UberEats Unknown,,10/22/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-4.57,0,0,-4.57,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#5F551,c36fd598-8adf-485f-bbba-ec1f13a5f551,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,11:31 AM,Non-member,20.08,1.66,21.74,0,0,0,0,0,0,0,0,0,0,0,0,21.74,-3.61,18,0,0,0,0,0,0,0,0,,0,-1.66,0,16.47,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#BC708,27a4bd35-38b0-4e08-9a4c-2b18c13bc708,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,12:40 PM,Non-member,28.46,2.35,30.81,0,0,0,0,0,0,0,0,0,0,0,0,30.81,-5.12,18,0,0,0,0,0,0,0,0,,0,-2.35,0,23.34,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#8C655,d0b16eba-7611-4bba-827f-e2744b08c655,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,1:07 PM,Non-member,16.29,1.35,17.64,0,0,0,0,0,0,0,0,0,0,0,0,17.64,-2.93,18,0,0,0,0,0,0,0,0,,0,-1.35,0,13.36,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#732A8,175d94b8-b744-4df8-b316-590a061732a8,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,1:37 PM,Uber One member,16.29,1.35,17.64,0,0,0,0,0,-5,-0.41,0,0,0,0,0,12.64,-2.37,21,0,0,0,0,0,0,0,0,,0,-0.94,0,8.92,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#591FC,a212b752-85bd-471b-82eb-f7e336c591fc,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,2:10 PM,Uber One member,36.05,2.98,39.03,0,0,0,0,0,0,0,0,0,0,0,0,39.03,-7.57,21,0,0,0,0,0,0,0,0,,0,-2.98,0,28.48,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#889BC,9eefbd93-9eff-4aa5-8b8e-2d7599d889bc,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,6:14 PM,Uber One member,31.77,2.63,34.4,0,0,0,0,0,0,0,0,0,0,0,0,34.4,-6.67,21,0,0,0,0,0,0,0,0,,0,-2.63,0,25.1,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#AF995,1a917030-da28-4972-b54e-0a2dc7eaf995,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,6:45 PM,Uber One member,35.07,2.9,37.97,0,0,0,0,0,0,0,0,0,0,0,0,37.97,-7.36,21,0,0,0,0,0,0,0,0,,0,-2.9,0,27.71,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#AF995,1a917030-da28-4972-b54e-0a2dc7eaf995,Delivery - Partner Using Uber App,Digital,UberEats Unknown,Refund,10/22/25,6:45 PM,Uber One member,0,0,0,-3.79,-0.31,-4.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0.31,0,-3.79,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#599F7,e465f3c0-aa2d-4376-bac7-0b155a7599f7,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,6:53 PM,Non-member,22.58,1.87,24.45,0,0,0,0,0,0,0,0,0,0,0,0,24.45,-4.06,18,0,0,0,0,0,0,0,0,,0,-1.87,0,18.52,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#15982,6af80fde-6317-4fdb-9e2d-415d67f15982,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/22/25,7:40 PM,Non-member,30.68,2.54,33.22,0,0,0,0,0,0,0,0,0,0,0,0,33.22,-5.52,18,0,0,0,0,0,0,0,0,,0,-2.54,0,25.16,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,,,,,UberEats Unknown,,10/23/25,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Ad Spend,-2.92,0,0,-2.92,,0,0,,
Capriotti's Sandwich Shop (NV079),79|15654,#D3DC0,cdd52018-9c30-4e34-a974-752d646d3dc0,Delivery - Partner Using Uber App,Digital,UberEats iOS,Completed,10/23/25,1:02 PM,Uber One member,16.29,1.35,17.64,0,0,0,0,0,0,0,0,0,0,0,0,17.64,-3.42,21,0,0,0,0,0,0,0,0,,0,-1.35,0,12.87,,0,0,,
